timestamp,energy_output,temperature,humidity,wind_speed,solar_irradiance,panel_temp,voltage,current,power_factor,dust_level,maintenance_needed
2024-09-21 14:30:15.251594,6.69,33.3,73.8,2.7,606.6,41.5,25.2,26.0,0.92,0.11,0
2024-09-21 15:30:15.251594,8.21,33.3,80.3,1.4,719.2,45.5,23.8,36.7,0.93,0.48,0
2024-09-21 16:30:15.251594,2.36,28.4,79.1,2.3,318.5,31.3,22.6,9.7,0.94,0.84,0
2024-09-21 17:30:15.251594,4.24,26.7,79.8,1.0,400.2,32.3,24.4,12.3,0.93,0.5,0
2024-09-21 18:30:15.251594,1.92,25.2,89.8,1.3,147.8,31.5,24.5,6.9,0.93,0.52,0
2024-09-21 19:30:15.251594,1.38,17.9,79.0,1.8,0.0,20.9,22.3,2.7,0.98,0.92,0
2024-09-21 20:30:15.251594,0.42,20.6,80.7,1.7,0.0,21.0,21.7,3.0,0.98,0.84,0
2024-09-21 21:30:15.251594,0.5,16.6,74.0,3.3,0.0,16.9,23.0,4.8,0.92,0.62,0
2024-09-21 22:30:15.251594,0.11,11.5,78.2,1.0,0.0,6.9,24.4,-1.1,0.99,0.73,0
2024-09-21 23:30:15.251594,0.38,14.2,59.3,2.1,0.0,15.1,23.9,0.8,0.94,0.73,0
2024-09-22 00:30:15.251594,0.0,12.1,55.4,2.9,0.0,7.5,24.2,1.3,0.91,0.51,0
2024-09-22 01:30:15.251594,0.15,21.7,61.5,3.5,0.0,18.8,23.7,1.5,0.94,0.92,0
2024-09-22 02:30:15.251594,0.43,19.5,54.7,2.8,0.0,20.6,24.7,-2.7,0.96,0.79,0
2024-09-22 03:30:15.251594,0.88,21.7,48.2,2.1,0.0,19.8,22.9,3.3,0.94,0.14,0
2024-09-22 04:30:15.251594,0.23,21.0,36.1,3.2,0.0,21.0,23.5,4.9,0.96,0.83,0
2024-09-22 05:30:15.251594,0.0,14.4,42.4,1.9,0.0,13.2,25.7,-0.4,1.0,0.17,0
2024-09-22 06:30:15.251594,1.16,24.5,32.7,2.5,7.4,27.8,25.2,3.5,0.97,0.62,0
2024-09-22 07:30:15.251594,2.9,26.5,31.4,2.1,330.2,33.6,23.6,10.8,0.94,0.65,0
2024-09-22 08:30:15.251594,3.73,26.9,31.6,3.8,332.2,31.8,23.3,13.0,0.97,0.66,0
2024-09-22 09:30:15.251594,6.37,33.3,54.7,1.8,582.5,42.6,25.8,26.5,0.97,0.99,0
2024-09-22 10:30:15.251594,5.79,31.6,34.0,3.5,576.2,41.9,23.7,25.1,0.96,0.35,0
2024-09-22 11:30:15.251594,7.36,34.1,34.7,1.9,724.5,43.7,23.9,31.3,0.99,0.35,0
2024-09-22 12:30:15.251594,5.84,30.5,59.2,2.8,691.8,39.2,25.7,24.9,0.94,0.98,0
2024-09-22 13:30:15.251594,8.19,35.0,72.2,2.5,805.0,45.9,23.0,30.8,0.86,0.7,0
2024-09-22 14:30:15.251594,6.47,31.7,43.3,2.4,653.4,42.5,25.5,27.9,0.93,0.55,0
2024-09-22 15:30:15.251594,3.78,31.7,41.0,2.0,446.5,39.5,22.7,15.2,0.91,0.49,0
2024-09-22 16:30:15.251594,4.74,30.3,61.9,1.2,516.2,38.4,23.3,19.0,0.96,0.36,0
